FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,COUNCIL,Infant mortality rate,maternal mortality ratio,neo natal mortality rate,region,Region_1,infant_mortality_rate
100029-8,AAR,-3.37317,36.7018,Arusha City Council,,,,Arusha,Arusha,6.4
100185-8,ARUSHA,-3.37955,36.70607,Arusha City Council,,,,Arusha,Arusha,6.4
100187-4,ARUSHA HOSPITAL FOR WOMEN,-3.36106,36.68535,Arusha City Council,,,,Arusha,Arusha,6.4
100188-2,ARUSHA LUTHERAN CENTER,-3.36626,36.6823,Arusha City Council,,,,Arusha,Arusha,6.4
100189-0,ARUSHA MED CENTRE,-3.37636,36.698442,Arusha City Council,,,,Arusha,Arusha,6.4
100190-8,ARUSHA SCHOOL,,,Arusha City Council,,,,Arusha,Arusha,6.4
100192-4,ARUSHA X-RAY CENTER,-3.36579,36.699,Arusha City Council,,,,Arusha,Arusha,6.4
100320-1,BARAA RC,-3.38882,36.73671,Arusha City Council,,,,Arusha,Arusha,6.4
100364-9,BIKIRA MARIA MAMA WA HURUMA,-3.3657,36.6876,Arusha City Council,,,,Arusha,Arusha,6.4
100675-8,CANOSA,-3.45545,36.7115,Arusha City Council,,,,Arusha,Arusha,6.4
100909-1,COGI DARAJA II,-3.038734,36.69091,Arusha City Council,,,,Arusha,Arusha,6.4
100912-5,COGI KIJENGE,-3.37891,36.7067,Arusha City Council,,,,Arusha,Arusha,6.4
101053-7,EBEN,-3.363729,36.689658,Arusha City Council,,,,Arusha,Arusha,6.4
101068-5,ELERAI WEST END,-3.4067,36.65919,Arusha City Council,,,,Arusha,Arusha,6.4
101121-2,FAITH,-3.36711,36.72186,Arusha City Council,,,,Arusha,Arusha,6.4
101134-5,FARAJA,-3.37231,36.68135,Arusha City Council,,,,Arusha,Arusha,6.4
101224-4,GLORIA,-3.361671,36.697168,Arusha City Council,,,,Arusha,Arusha,6.4
101257-4,GREEN HOPE,-3.3653,36.70958,Arusha City Council,,,,Arusha,Arusha,6.4
101337-4,HEALTH MASTER,-3.07298,36.68774,Arusha City Council,,,,Arusha,Arusha,6.4
101355-6,HERI GOOD SAMARITAN,-3.38638,36.68523,Arusha City Council,,,,Arusha,Arusha,6.4
101379-6,HOLY FAMILY,-3.41223,36.70756,Arusha City Council,,,,Arusha,Arusha,6.4
101418-2,HURUMA KANORA,,,Arusha City Council,,,,Arusha,Arusha,6.4
